time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,tactile1,tactile2,tactile3,tactile4,tactile5,tactile6,tactile7,tactile8,tactile9,tactile10,tactile11,tactile12,tactile13,tactile14,tactile15,tactile16,tactile17,tactile18,tactile19,tactile20,tactile21,tactile22,tactile23,tactile24,tactile25,tactile26,tactile27,tactile28,tactile29,tactile30,tactile31,tactile32,tactile33,tactile34,tactile35,tactile36,tactile37,tactile38,tactile39,tactile40,tactile41,tactile42,tactile43,tactile44,tactile45,tactile46,tactile47,tactile48,tactile49,tactile50,tactile51,tactile52,tactile53,tactile54,tactile55,tactile56,tactile57,tactile58,tactile59,tactile60,tactile61,tactile62,tactile63,tactile64
2023/02/15/00:36:02.009917,3239709,1676381762,9722403,,11.0, 38.0, 25.0, 3.0, 6.0, 8.0, 19.0, 30.0, 92.0, 33.0, 5.0, 6.0, 2.0, 125.0, 8.0, 19.0, 16.0, 11.0, 26.0, 16.0, 2.0, 13.0, 4.0, 12.0, 2.0, 2.0, 14.0, 3.0, 2.0, 75.0, 50.0, 278.0, 2.0, 9.0, 1.0, 3.0, 1.0, 4077.0, 71.0, 70.0, 480.0, 9.0, 136.0, 22.0, 21.0, 200.0, 33.0, 73.0, 41.0, 13.0, 16.0, 3663.0, 62.0, 34.0, 42.0, 3.0, 6.0, 11.0, 12.0, 36.0, 14.0, 21.0, 15.0, 6.0
2023/02/15/00:36:02.010710,3239710,1676381762,10663273,,12.0, 38.0, 24.0, 3.0, 6.0, 8.0, 19.0, 30.0, 91.0, 34.0, 5.0, 5.0, 2.0, 124.0, 8.0, 19.0, 16.0, 10.0, 26.0, 16.0, 2.0, 15.0, 4.0, 12.0, 2.0, 2.0, 14.0, 3.0, 2.0, 74.0, 47.0, 276.0, 2.0, 10.0, 1.0, 3.0, 1.0, 4079.0, 72.0, 68.0, 482.0, 8.0, 136.0, 19.0, 21.0, 198.0, 34.0, 73.0, 41.0, 13.0, 15.0, 3663.0, 62.0, 34.0, 42.0, 3.0, 7.0, 10.0, 11.0, 36.0, 15.0, 21.0, 15.0, 6.0
2023/02/15/00:36:02.011710,3239711,1676381762,11669710,,12.0, 37.0, 24.0, 3.0, 7.0, 8.0, 18.0, 30.0, 93.0, 33.0, 5.0, 6.0, 2.0, 125.0, 8.0, 19.0, 14.0, 11.0, 26.0, 15.0, 2.0, 14.0, 5.0, 12.0, 2.0, 2.0, 14.0, 3.0, 2.0, 73.0, 45.0, 276.0, 2.0, 10.0, 1.0, 3.0, 1.0, 4079.0, 72.0, 68.0, 484.0, 9.0, 136.0, 22.0, 20.0, 199.0, 33.0, 73.0, 39.0, 12.0, 16.0, 3663.0, 62.0, 34.0, 42.0, 3.0, 8.0, 10.0, 11.0, 36.0, 15.0, 21.0, 15.0, 6.0
2023/02/15/00:36:02.012701,3239712,1676381762,12661086,,12.0, 38.0, 24.0, 3.0, 6.0, 8.0, 18.0, 31.0, 91.0, 32.0, 5.0, 5.0, 2.0, 125.0, 8.0, 19.0, 15.0, 8.0, 26.0, 16.0, 2.0, 16.0, 4.0, 12.0, 2.0, 2.0, 14.0, 3.0, 2.0, 73.0, 42.0, 276.0, 2.0, 10.0, 1.0, 3.0, 0.0, 4079.0, 72.0, 67.0, 490.0, 9.0, 136.0, 22.0, 22.0, 200.0, 32.0, 73.0, 40.0, 12.0, 16.0, 3663.0, 62.0, 36.0, 42.0, 3.0, 9.0, 10.0, 11.0, 36.0, 15.0, 20.0, 16.0, 6.0
2023/02/15/00:36:02.013705,3239713,1676381762,13670611,,12.0, 38.0, 24.0, 3.0, 7.0, 7.0, 18.0, 30.0, 92.0, 32.0, 5.0, 5.0, 2.0, 125.0, 8.0, 19.0, 15.0, 10.0, 26.0, 17.0, 2.0, 14.0, 5.0, 13.0, 2.0, 2.0, 13.0, 3.0, 2.0, 73.0, 44.0, 277.0, 2.0, 9.0, 1.0, 3.0, 2.0, 4079.0, 71.0, 68.0, 490.0, 9.0, 136.0, 22.0, 22.0, 200.0, 33.0, 73.0, 39.0, 13.0, 16.0, 3663.0, 62.0, 36.0, 42.0, 3.0, 8.0, 11.0, 10.0, 36.0, 16.0, 18.0, 15.0, 3.0
2023/02/15/00:36:02.014720,3239714,1676381762,14665350,,13.0, 38.0, 24.0, 3.0, 6.0, 8.0, 18.0, 31.0, 91.0, 34.0, 4.0, 5.0, 2.0, 125.0, 8.0, 19.0, 16.0, 10.0, 26.0, 17.0, 2.0, 14.0, 4.0, 14.0, 2.0, 2.0, 14.0, 3.0, 2.0, 74.0, 42.0, 277.0, 2.0, 10.0, 1.0, 3.0, 1.0, 4079.0, 71.0, 67.0, 492.0, 9.0, 136.0, 21.0, 23.0, 198.0, 33.0, 73.0, 40.0, 13.0, 16.0, 3663.0, 62.0, 34.0, 42.0, 3.0, 8.0, 11.0, 10.0, 36.0, 16.0, 21.0, 16.0, 6.0
2023/02/15/00:36:02.015720,3239715,1676381762,15671749,,12.0, 37.0, 24.0, 3.0, 7.0, 8.0, 19.0, 30.0, 88.0, 33.0, 5.0, 5.0, 2.0, 125.0, 8.0, 19.0, 15.0, 11.0, 26.0, 19.0, 3.0, 14.0, 5.0, 12.0, 2.0, 2.0, 14.0, 6.0, 2.0, 74.0, 42.0, 277.0, 2.0, 10.0, 1.0, 3.0, 1.0, 4078.0, 71.0, 69.0, 495.0, 8.0, 136.0, 21.0, 21.0, 200.0, 33.0, 73.0, 39.0, 13.0, 16.0, 3663.0, 61.0, 34.0, 43.0, 3.0, 9.0, 11.0, 11.0, 36.0, 16.0, 21.0, 15.0, 6.0
2023/02/15/00:36:02.016711,3239716,1676381762,16663700,,13.0, 37.0, 24.0, 3.0, 7.0, 8.0, 19.0, 30.0, 90.0, 32.0, 5.0, 6.0, 2.0, 122.0, 8.0, 19.0, 16.0, 10.0, 26.0, 17.0, 2.0, 14.0, 4.0, 12.0, 2.0, 2.0, 14.0, 3.0, 2.0, 74.0, 42.0, 277.0, 2.0, 9.0, 1.0, 3.0, 2.0, 4078.0, 71.0, 68.0, 498.0, 10.0, 137.0, 22.0, 23.0, 200.0, 33.0, 72.0, 40.0, 13.0, 16.0, 3663.0, 62.0, 36.0, 42.0, 3.0, 8.0, 11.0, 11.0, 36.0, 15.0, 20.0, 15.0, 6.0
2023/02/15/00:36:02.017742,3239717,1676381762,17676260,,13.0, 37.0, 24.0, 3.0, 6.0, 8.0, 19.0, 32.0, 90.0, 34.0, 5.0, 6.0, 2.0, 124.0, 8.0, 19.0, 16.0, 11.0, 25.0, 19.0, 2.0, 13.0, 4.0, 13.0, 2.0, 2.0, 14.0, 3.0, 2.0, 73.0, 42.0, 278.0, 2.0, 10.0, 0.0, 3.0, 2.0, 4079.0, 71.0, 70.0, 502.0, 9.0, 136.0, 21.0, 24.0, 200.0, 32.0, 73.0, 40.0, 13.0, 15.0, 3663.0, 62.0, 36.0, 42.0, 3.0, 9.0, 11.0, 11.0, 36.0, 15.0, 20.0, 15.0, 6.0
2023/02/15/00:36:02.018730,3239718,1676381762,18665365,,12.0, 37.0, 24.0, 3.0, 6.0, 8.0, 18.0, 32.0, 88.0, 32.0, 5.0, 5.0, 0.0, 124.0, 8.0, 19.0, 16.0, 11.0, 26.0, 17.0, 2.0, 14.0, 4.0, 14.0, 2.0, 2.0, 14.0, 3.0, 2.0, 74.0, 41.0, 278.0, 2.0, 8.0, 1.0, 3.0, 2.0, 4079.0, 72.0, 70.0, 500.0, 9.0, 136.0, 22.0, 25.0, 200.0, 32.0, 73.0, 40.0, 13.0, 15.0, 3663.0, 60.0, 36.0, 43.0, 3.0, 9.0, 10.0, 10.0, 36.0, 16.0, 21.0, 18.0, 6.0
