time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,G_PinkieRingAb,G_ThumbIJ,G_ThumbMPJ,G_IndexPIJ,G_IndexMPJ,G_MiddlePIJ,G_MiddleMPJ,G_RingPIJ,G_RingMPJ,G_PinkieMPJ,G_PinkiePIJ,G_PalmArch,G_ThumbRotate,G_ThumbAb,G_MiddleIndexAb,G_RingMiddleAb,tactile1,tactile2,tactile3,tactile4,tactile5,tactile6,tactile7,tactile8,tactile9,tactile10,tactile11,tactile12,tactile13,tactile14,tactile15,tactile16,tactile17,tactile18,tactile19,tactile20,tactile21,tactile22,tactile23,tactile24,tactile25,tactile26,tactile27,tactile28,tactile29,tactile30,tactile31,tactile32,tactile33,tactile34,tactile35,tactile36,tactile37,tactile38,tactile39,tactile40,tactile41,tactile42,tactile43,tactile44,tactile45,tactile46,tactile47,tactile48,tactile49,tactile50,tactile51,tactile52,tactile53,tactile54,tactile55,tactile56,tactile57,tactile58,tactile59,tactile60,tactile61,tactile62,tactile63,tactile64
2023/02/15/00:36:02.009920,3239709,1676381762,9748021,,394.0,2028.0,266.0,898.0,1497.0,1322.0,2347.0,1239.0,1871.0,885.0,1861.0,2923.0,1820.0,3037.0,757.0,345.0,11.0,38.0,25.0,3.0,6.0,8.0,19.0,30.0,92.0,33.0,5.0,6.0,2.0,125.0,8.0,19.0,16.0,11.0,26.0,16.0,2.0,13.0,4.0,12.0,2.0,2.0,14.0,3.0,2.0,75.0,50.0,278.0,2.0,9.0,1.0,3.0,1.0,4077.0,71.0,70.0,480.0,9.0,136.0,22.0,21.0,200.0,33.0,73.0,41.0,13.0,16.0,3663.0,62.0,34.0,42.0,3.0,6.0,11.0,12.0,36.0,14.0,21.0,15.0,6.0
2023/02/15/00:36:02.010742,3239710,1676381762,10703724,,394.0,2023.0,267.0,898.0,1497.0,1322.0,2344.0,1239.0,1871.0,884.0,1860.0,2923.0,1821.0,3037.0,757.0,346.0,12.0,38.0,24.0,3.0,6.0,8.0,19.0,30.0,91.0,34.0,5.0,5.0,2.0,124.0,8.0,19.0,16.0,10.0,26.0,16.0,2.0,15.0,4.0,12.0,2.0,2.0,14.0,3.0,2.0,74.0,47.0,276.0,2.0,10.0,1.0,3.0,1.0,4079.0,72.0,68.0,482.0,8.0,136.0,19.0,21.0,198.0,34.0,73.0,41.0,13.0,15.0,3663.0,62.0,34.0,42.0,3.0,7.0,10.0,11.0,36.0,15.0,21.0,15.0,6.0
2023/02/15/00:36:02.011753,3239711,1676381762,11711107,,394.0,2025.0,268.0,898.0,1497.0,1322.0,2346.0,1239.0,1871.0,882.0,1860.0,2922.0,1820.0,3037.0,757.0,345.0,12.0,37.0,24.0,3.0,7.0,8.0,18.0,30.0,93.0,33.0,5.0,6.0,2.0,125.0,8.0,19.0,14.0,11.0,26.0,15.0,2.0,14.0,5.0,12.0,2.0,2.0,14.0,3.0,2.0,73.0,45.0,276.0,2.0,10.0,1.0,3.0,1.0,4079.0,72.0,68.0,484.0,9.0,136.0,22.0,20.0,199.0,33.0,73.0,39.0,12.0,16.0,3663.0,62.0,34.0,42.0,3.0,8.0,10.0,11.0,36.0,15.0,21.0,15.0,6.0
2023/02/15/00:36:02.012740,3239712,1676381762,12706474,,394.0,2038.0,268.0,898.0,1496.0,1322.0,2345.0,1239.0,1871.0,881.0,1860.0,2923.0,1820.0,3037.0,757.0,345.0,12.0,38.0,24.0,3.0,6.0,8.0,18.0,31.0,91.0,32.0,5.0,5.0,2.0,125.0,8.0,19.0,15.0,8.0,26.0,16.0,2.0,16.0,4.0,12.0,2.0,2.0,14.0,3.0,2.0,73.0,42.0,276.0,2.0,10.0,1.0,3.0,0.0,4079.0,72.0,67.0,490.0,9.0,136.0,22.0,22.0,200.0,32.0,73.0,40.0,12.0,16.0,3663.0,62.0,36.0,42.0,3.0,9.0,10.0,11.0,36.0,15.0,20.0,16.0,6.0
2023/02/15/00:36:02.013731,3239713,1676381762,13702407,,394.0,2028.0,268.0,898.0,1497.0,1322.0,2346.0,1239.0,1870.0,880.0,1860.0,2923.0,1821.0,3037.0,758.0,346.0,12.0,38.0,24.0,3.0,7.0,7.0,18.0,30.0,92.0,32.0,5.0,5.0,2.0,125.0,8.0,19.0,15.0,10.0,26.0,17.0,2.0,14.0,5.0,13.0,2.0,2.0,13.0,3.0,2.0,73.0,44.0,277.0,2.0,9.0,1.0,3.0,2.0,4079.0,71.0,68.0,490.0,9.0,136.0,22.0,22.0,200.0,33.0,73.0,39.0,13.0,16.0,3663.0,62.0,36.0,42.0,3.0,8.0,11.0,10.0,36.0,16.0,18.0,15.0,3.0
2023/02/15/00:36:02.014760,3239714,1676381762,14696604,,394.0,2028.0,269.0,898.0,1496.0,1321.0,2346.0,1239.0,1871.0,877.0,1860.0,2923.0,1821.0,3037.0,758.0,345.0,13.0,38.0,24.0,3.0,6.0,8.0,18.0,31.0,91.0,34.0,4.0,5.0,2.0,125.0,8.0,19.0,16.0,10.0,26.0,17.0,2.0,14.0,4.0,14.0,2.0,2.0,14.0,3.0,2.0,74.0,42.0,277.0,2.0,10.0,1.0,3.0,1.0,4079.0,71.0,67.0,492.0,9.0,136.0,21.0,23.0,198.0,33.0,73.0,40.0,13.0,16.0,3663.0,62.0,34.0,42.0,3.0,8.0,11.0,10.0,36.0,16.0,21.0,16.0,6.0
2023/02/15/00:36:02.015734,3239715,1676381762,15701482,,394.0,2040.0,268.0,898.0,1496.0,1321.0,2347.0,1239.0,1870.0,876.0,1860.0,2922.0,1821.0,3037.0,759.0,345.0,12.0,37.0,24.0,3.0,7.0,8.0,19.0,30.0,88.0,33.0,5.0,5.0,2.0,125.0,8.0,19.0,15.0,11.0,26.0,19.0,3.0,14.0,5.0,12.0,2.0,2.0,14.0,6.0,2.0,74.0,42.0,277.0,2.0,10.0,1.0,3.0,1.0,4078.0,71.0,69.0,495.0,8.0,136.0,21.0,21.0,200.0,33.0,73.0,39.0,13.0,16.0,3663.0,61.0,34.0,43.0,3.0,9.0,11.0,11.0,36.0,16.0,21.0,15.0,6.0
2023/02/15/00:36:02.016732,3239716,1676381762,16697037,,394.0,2026.0,269.0,898.0,1496.0,1322.0,2346.0,1239.0,1870.0,874.0,1861.0,2923.0,1821.0,3037.0,758.0,345.0,13.0,37.0,24.0,3.0,7.0,8.0,19.0,30.0,90.0,32.0,5.0,6.0,2.0,122.0,8.0,19.0,16.0,10.0,26.0,17.0,2.0,14.0,4.0,12.0,2.0,2.0,14.0,3.0,2.0,74.0,42.0,277.0,2.0,9.0,1.0,3.0,2.0,4078.0,71.0,68.0,498.0,10.0,137.0,22.0,23.0,200.0,33.0,72.0,40.0,13.0,16.0,3663.0,62.0,36.0,42.0,3.0,8.0,11.0,11.0,36.0,15.0,20.0,15.0,6.0
2023/02/15/00:36:02.017748,3239717,1676381762,17702203,,394.0,2033.0,269.0,898.0,1497.0,1321.0,2346.0,1239.0,1871.0,873.0,1860.0,2923.0,1821.0,3037.0,758.0,345.0,13.0,37.0,24.0,3.0,6.0,8.0,19.0,32.0,90.0,34.0,5.0,6.0,2.0,124.0,8.0,19.0,16.0,11.0,25.0,19.0,2.0,13.0,4.0,13.0,2.0,2.0,14.0,3.0,2.0,73.0,42.0,278.0,2.0,10.0,0.0,3.0,2.0,4079.0,71.0,70.0,502.0,9.0,136.0,21.0,24.0,200.0,32.0,73.0,40.0,13.0,15.0,3663.0,62.0,36.0,42.0,3.0,9.0,11.0,11.0,36.0,15.0,20.0,15.0,6.0
2023/02/15/00:36:02.018760,3239718,1676381762,18719773,,394.0,2031.0,268.0,898.0,1496.0,1321.0,2346.0,1239.0,1870.0,872.0,1860.0,2923.0,1821.0,3037.0,758.0,346.0,12.0,37.0,24.0,3.0,6.0,8.0,18.0,32.0,88.0,32.0,5.0,5.0,0.0,124.0,8.0,19.0,16.0,11.0,26.0,17.0,2.0,14.0,4.0,14.0,2.0,2.0,14.0,3.0,2.0,74.0,41.0,278.0,2.0,8.0,1.0,3.0,2.0,4079.0,72.0,70.0,500.0,9.0,136.0,22.0,25.0,200.0,32.0,73.0,40.0,13.0,15.0,3663.0,60.0,36.0,43.0,3.0,9.0,10.0,10.0,36.0,16.0,21.0,18.0,6.0
